# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/shali/compbio/ensemble_gene_annotation/Homo_sapiens.GRCh38.113.gtf" "-o" "/home/shali/compbio/GSE46056_RNAseq/gene_counts/gene_counts.txt" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827457.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827462.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827467.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827472.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827477.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827482.bam" 
Geneid	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827457.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827462.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827467.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827472.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827477.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827482.bam
ENSG00000214114	1228	984	942	447	393	442
ENSG00000116544	5	75	25	19	105	38
ENSG00000236723	1	2	5	4	3	2
ENSG00000232467	1	1	3	2	2	0
ENSG00000117016	749	665	610	643	694	543
ENSG00000163866	2003	1975	1579	1724	2079	1939
ENSG00000237130	1	0	0	0	0	0
ENSG00000232335	1	4	5	0	2	1
ENSG00000232762	1	0	0	1	0	2
ENSG00000162384	1296	1067	1064	994	1137	1446
ENSG00000162391	14	8	8	11	11	11
ENSG00000117859	6740	5735	5720	5706	6777	6773
ENSG00000162396	348	219	140	287	297	182
ENSG00000284686	1	0	0	0	0	0
ENSG00000162378	3053	2352	2087	3374	3843	3175
ENSG00000259818	2	0	2	2	0	0
ENSG00000234318	6	1	0	2	4	2
ENSG00000227485	0	0	0	0	0	0
ENSG00000236646	0	0	1	0	1	0
ENSG00000243725	113	96	77	78	84	84
ENSG00000171872	15	7	6	10	10	7
ENSG00000162407	137	252	30	55	43	24
ENSG00000163877	953	767	621	697	582	546
ENSG00000228929	506	462	525	461	567	673
ENSG00000224570	4	0	0	0	0	0
ENSG00000224980	0	0	0	0	0	0
ENSG00000278967	0	0	4	6	0	0
ENSG00000157184	1192	977	944	1232	1506	1273
ENSG00000198815	3801	2962	3147	3271	3471	3685
ENSG00000134744	2949	1955	1883	2240	2256	1971
ENSG00000233910	0	0	0	0	0	0
ENSG00000287703	0	0	0	0	0	0
ENSG00000283039	0	0	0	0	0	0
ENSG00000229294	2	0	0	1	0	2
ENSG00000236973	1	0	1	0	0	0
ENSG00000277397	0	0	0	0	0	0
ENSG00000162385	1596	1459	1499	1356	1432	1662
ENSG00000275350	0	0	0	0	0	0
ENSG00000123080	1515	1849	1198	831	781	673
ENSG00000285778	0	0	0	0	1	0
ENSG00000233407	0	0	0	0	0	0
ENSG00000162598	0	0	0	0	0	0
ENSG00000280317	0	0	0	0	0	0
ENSG00000162415	10	2	8	49	61	40
ENSG00000162600	640	737	654	447	583	764
ENSG00000116704	2504	2401	2166	1985	2393	1882
ENSG00000157193	2046	1666	1247	1284	1145	913
ENSG00000116205	1201	858	958	742	674	780
ENSG00000233994	91	85	81	107	114	99
ENSG00000227556	0	0	0	0	0	0
ENSG00000162607	6434	5754	5437	3471	2992	3650
ENSG00000285954	6	0	3	6	3	3
ENSG00000233333	0	0	0	0	0	0
ENSG00000154027	132	173	114	125	279	271
ENSG00000234108	0	0	0	0	0	0
ENSG00000232676	3	2	0	1	1	1
ENSG00000213579	1	0	1	1	0	3
ENSG00000137960	7	3	0	2	3	6
ENSG00000237852	6	12	4	8	2	10
ENSG00000132855	3	0	2	2	0	0
ENSG00000270549	1	0	0	0	1	0
ENSG00000237163	0	0	0	0	2	0
ENSG00000229636	0	0	0	0	0	0
ENSG00000116675	10009	9400	8322	11177	10355	9202
ENSG00000162433	2113	1103	1107	3252	3332	3042
ENSG00000213625	4151	2938	3374	4916	5029	4992
ENSG00000233664	1	0	0	1	0	0
ENSG00000158966	38	30	18	238	196	96
ENSG00000213703	1	0	0	0	0	0
ENSG00000233674	0	0	0	0	0	0
ENSG00000153898	286	181	75	152	185	92
ENSG00000117069	2	0	0	10	5	4
ENSG00000125703	1610	1219	1144	1571	1698	1537
ENSG00000234144	0	0	1	1	0	0
ENSG00000277670	0	0	0	0	0	0
ENSG00000227466	0	0	0	0	0	0
ENSG00000230498	1	0	2	2	2	0
ENSG00000162618	0	0	0	0	0	0
ENSG00000224493	0	0	0	0	0	0
ENSG00000131233	0	0	1	0	1	2
ENSG00000229225	0	0	0	0	0	0
ENSG00000225598	0	0	0	0	0	0
ENSG00000137941	576	485	347	878	1303	706
ENSG00000286548	24	28	22	23	17	18
ENSG00000066135	1765	1510	1719	1862	2292	2336
ENSG00000272094	0	0	0	0	0	0
ENSG00000228853	0	0	0	0	0	0
ENSG00000284895	0	0	0	0	0	0
ENSG00000117174	2378	2107	2474	1932	2030	2236
ENSG00000184313	5	3	5	21	14	9
ENSG00000288543	0	0	0	0	0	0
ENSG00000122420	0	0	0	0	0	0
ENSG00000143013	12514	10263	11158	13836	22930	15040
ENSG00000226084	4764	4170	4832	4473	5065	6421
ENSG00000134748	5154	4539	4555	4789	5280	6069
ENSG00000142892	1782	1545	1640	1268	1543	1847
ENSG00000229332	0	0	0	0	4	1
ENSG00000227937	0	0	0	0	0	0
ENSG00000229752	2	1	5	2	3	3
ENSG00000233216	0	0	0	0	0	0
ENSG00000197273	0	0	0	0	0	0
ENSG00000226804	0	0	0	0	0	0
ENSG00000230728	0	0	0	1	2	0
ENSG00000232846	0	0	0	0	0	0
ENSG00000230787	3	3	1	2	2	4
ENSG00000116641	2809	2310	2081	2698	3368	2832
ENSG00000172260	11	14	27	38	18	138
ENSG00000285473	0	0	0	0	0	0
ENSG00000234578	0	0	0	0	0	0
ENSG00000229505	0	0	0	0	0	0
ENSG00000228187	1	0	4	2	0	3
ENSG00000182183	2	1	2	0	7	6
ENSG00000236407	0	0	0	0	0	0
ENSG00000271949	0	0	0	0	0	0
ENSG00000227062	0	0	0	0	0	0
ENSG00000067334	4500	4015	4435	3904	4695	5314
ENSG00000235011	0	0	0	0	0	0
ENSG00000213559	5	4	4	3	4	5
ENSG00000287587	0	0	0	0	0	2
ENSG00000142949	93	84	102	280	210	223
ENSG00000232882	23	19	8	17	27	19
ENSG00000171502	294	276	185	634	602	729
ENSG00000116157	1192	1242	1163	1039	1499	1425
ENSG00000143036	8	14	4	2	6	10
ENSG00000065243	1217	833	1065	1838	1846	1625
ENSG00000226960	0	0	0	0	0	0
ENSG00000234080	12	17	12	20	14	24
ENSG00000285409	0	0	0	0	0	0
ENSG00000117528	2980	2627	2263	2177	2893	2535
ENSG00000271723	1	1	0	0	0	0
ENSG00000036549	2987	2450	2302	1560	1419	1644
ENSG00000225191	0	0	0	0	0	1
ENSG00000287870	0	2	1	2	2	0
ENSG00000232048	0	0	0	0	0	0
ENSG00000232857	0	0	0	0	0	0
ENSG00000273637	0	0	0	0	0	0
ENSG00000228838	0	1	0	0	0	0
ENSG00000283761	12	5	3	10	10	9
ENSG00000189433	1	7	1	4	0	0
ENSG00000142700	0	2	0	2	0	2
ENSG00000233514	55	67	73	34	25	36
ENSG00000127124	227	179	172	244	308	314
ENSG00000266993	13	11	8	23	22	27
ENSG00000229316	0	1	0	0	0	0
ENSG00000234099	0	0	0	0	0	0
ENSG00000137936	50	31	19	84	104	35
ENSG00000232752	0	0	0	0	0	0
ENSG00000235829	0	1	2	0	0	3
ENSG00000143032	0	0	0	0	0	0
ENSG00000280040	0	0	0	0	0	0
ENSG00000117519	1567	1372	1575	1468	1616	2005
ENSG00000238037	0	0	0	0	0	0
ENSG00000134215	2695	1983	2566	3474	3101	4344
ENSG00000227935	0	0	0	0	0	0
ENSG00000228502	505	518	462	596	602	773
ENSG00000271277	0	0	0	0	0	0
ENSG00000236888	0	1	0	0	0	0
ENSG00000230828	0	0	0	0	0	0
ENSG00000152078	179	173	80	109	57	54
ENSG00000171492	2814	2427	2305	2837	2587	2630
ENSG00000233129	0	0	0	0	0	0
ENSG00000170989	141	99	148	921	1199	1556
ENSG00000237897	7	4	10	12	13	8
ENSG00000116299	12	9	2	4	2	0
ENSG00000137962	57	54	203	133	116	212
ENSG00000286692	0	4	4	2	0	4
ENSG00000260464	3	2	4	1	1	3
ENSG00000231996	1	2	0	0	0	0
ENSG00000117154	0	0	0	0	2	0
ENSG00000162377	2845	2418	2236	1398	1305	1524
ENSG00000116774	6	26	4	8	25	8
ENSG00000287756	0	0	0	0	0	0
ENSG00000284652	2	9	2	6	0	7
ENSG00000023909	2517	2307	1476	938	966	752
ENSG00000069702	22	10	14	53	42	32
ENSG00000228399	24	21	23	16	19	28
ENSG00000236776	0	1	0	1	0	0
ENSG00000271252	0	0	0	0	0	0
ENSG00000235794	0	0	0	0	0	0
ENSG00000233983	0	0	0	0	0	0
ENSG00000198198	2372	1510	1737	2759	2395	2226
ENSG00000116793	2049	1983	1729	1883	2425	2094
ENSG00000232918	0	0	0	0	0	0
ENSG00000183298	671	594	544	468	539	704
ENSG00000117525	5	4	4	9	6	29
ENSG00000162699	0	0	0	0	0	0
ENSG00000203914	88	108	57	56	59	51
ENSG00000270457	0	0	0	0	0	0
ENSG00000231987	0	0	4	0	0	0
ENSG00000229842	0	0	0	0	0	0
ENSG00000198162	3746	2840	2857	2051	2370	2518
ENSG00000171517	47	55	16	30	6	14
ENSG00000203864	0	0	0	0	0	0
ENSG00000233482	0	0	0	0	0	0
ENSG00000143079	776	638	683	667	736	567
ENSG00000232450	21	9	15	13	19	22
ENSG00000235038	0	0	0	0	0	0
ENSG00000173947	90	36	73	43	47	45
ENSG00000134198	181	149	161	237	205	269
ENSG00000279513	0	0	0	0	2	2
ENSG00000117620	982	778	795	1057	1021	1107
ENSG00000162688	2160	1661	1591	2397	2611	2099
ENSG00000197106	0	0	0	2	2	0
ENSG00000231072	3	2	0	3	6	4
ENSG00000185946	464	380	533	494	414	463
ENSG00000162627	50	28	23	87	51	80
ENSG00000265808	2718	2464	2408	3049	3505	3021
ENSG00000225923	0	0	0	0	1	0
ENSG00000134247	301	309	171	361	623	489
ENSG00000162664	2856	2213	2450	2103	1968	2261
ENSG00000134253	210	102	147	94	54	81
ENSG00000223416	2	8	3	7	11	7
ENSG00000179571	0	1	0	1	2	0
ENSG00000227850	38	59	16	46	49	52
ENSG00000285532	0	0	0	0	0	0
ENSG00000226755	0	0	0	0	0	0
ENSG00000183508	3654	2644	2276	2079	1459	1196
ENSG00000277095	0	0	0	0	0	0
ENSG00000264145	0	0	0	0	0	0
ENSG00000238256	0	0	0	0	0	0
ENSG00000198765	11	2	4	0	0	0
ENSG00000143398	4271	3642	4215	2749	2992	3635
ENSG00000196505	939	849	699	1111	1337	1083
ENSG00000223489	2	3	0	0	0	2
ENSG00000230546	0	0	0	0	0	0
ENSG00000213262	0	0	0	0	0	0
ENSG00000287015	0	0	0	0	0	0
ENSG00000235526	0	0	0	0	0	0
ENSG00000228347	4	9	3	12	11	5
ENSG00000236012	0	0	0	0	1	0
ENSG00000134200	0	0	0	0	0	0
ENSG00000065183	3988	3681	3817	2551	2644	4298
ENSG00000226126	8	2	3	2	5	3
ENSG00000163156	1628	1508	1704	1427	1577	1833
ENSG00000228453	0	0	0	0	0	0
ENSG00000261168	16	52	24	4	90	8
ENSG00000233432	18	19	8	16	14	13
ENSG00000229911	0	0	0	0	0	0
ENSG00000171943	257	146	138	262	251	224
ENSG00000270719	0	0	0	0	0	0
ENSG00000155761	18	11	10	16	41	11
ENSG00000116830	4764	4214	3674	2306	1940	2402
ENSG00000234422	0	0	0	0	0	0
ENSG00000227091	0	0	0	0	0	0
ENSG00000081026	477	372	350	435	388	438
ENSG00000143458	741	598	453	624	621	456
ENSG00000230932	0	0	0	0	0	0
ENSG00000225036	0	0	0	0	0	0
ENSG00000250890	0	0	0	0	0	0
ENSG00000232240	0	0	0	0	0	0
ENSG00000234388	0	0	0	0	0	0
ENSG00000233717	0	0	0	0	0	0
ENSG00000163155	116	103	77	127	130	113
ENSG00000241975	37	24	37	26	30	41
ENSG00000270976	0	0	0	0	0	0
ENSG00000228217	72	49	46	60	71	82
ENSG00000270342	0	0	0	0	0	0
ENSG00000116824	165	163	57	160	295	109
ENSG00000235887	0	0	0	0	0	0
ENSG00000235756	0	0	0	0	0	0
ENSG00000173810	2	2	2	1	0	3
ENSG00000271890	0	0	0	0	0	0
ENSG00000283360	4	0	1	0	0	0
ENSG00000117262	218	333	247	169	238	239
ENSG00000227970	0	0	0	0	0	0
ENSG00000231613	0	0	0	0	2	0
ENSG00000236689	0	0	0	0	0	0
ENSG00000226028	0	0	0	0	0	0
ENSG00000203825	0	0	0	0	0	0
ENSG00000184371	1851	1435	2781	942	867	1062
ENSG00000233449	0	0	0	0	0	0
ENSG00000242943	0	0	0	0	0	0
ENSG00000232499	174	203	161	126	141	137
ENSG00000163154	1610	1358	1235	1395	1656	1545
ENSG00000232995	34	32	57	34	17	23
ENSG00000238087	0	0	0	0	0	0
ENSG00000143158	2496	2428	2020	1827	1840	2024
ENSG00000271092	8	1	8	15	7	6
ENSG00000232148	0	0	0	0	0	0
ENSG00000000460	1071	839	742	475	437	457
ENSG00000135862	4200	3739	3437	3545	6091	4074
ENSG00000232952	142	132	146	135	139	147
ENSG00000260322	0	0	0	0	0	0
ENSG00000143156	570	532	442	427	422	413
ENSG00000198771	2090	1427	2116	3601	3350	5528
ENSG00000225462	4	14	5	14	9	14
ENSG00000237756	0	0	0	1	0	2
ENSG00000271187	0	0	0	0	0	0
ENSG00000231175	0	2	0	0	0	0
ENSG00000143185	0	0	0	0	0	0
ENSG00000272931	29	20	41	19	24	54
ENSG00000143190	1997	1402	1035	1359	1084	1022
ENSG00000225475	0	3	1	0	0	3
ENSG00000232223	0	0	0	0	0	0
ENSG00000224468	4	5	9	3	7	4
ENSG00000232551	0	0	0	0	0	0
ENSG00000238270	0	0	0	0	0	0
ENSG00000236025	0	0	0	0	0	0
ENSG00000230704	0	0	0	0	0	0
ENSG00000286754	0	0	0	0	0	0
ENSG00000143171	0	0	0	0	0	0
ENSG00000275767	0	0	0	0	0	0
ENSG00000047410	15290	11768	12347	11234	11066	12036
ENSG00000171806	343	277	251	316	284	282
ENSG00000134216	0	0	0	0	0	0
ENSG00000230748	0	0	0	0	0	0
ENSG00000238108	0	0	0	0	0	0
ENSG00000135842	4538	4405	3598	5064	5570	6485
ENSG00000287472	0	0	0	0	0	0
ENSG00000241318	8	2	5	7	7	13
ENSG00000228238	0	0	0	2	0	0
ENSG00000232393	5	4	2	5	3	6
ENSG00000184155	0	0	0	0	0	0
ENSG00000058085	6	1	0	4	1	0
ENSG00000232917	4	10	12	7	5	4
ENSG00000233057	42	30	35	32	48	41
ENSG00000143167	2	11	4	11	17	18
ENSG00000143184	0	2	0	4	0	0
ENSG00000224691	0	0	0	1	0	1
ENSG00000233626	0	0	5	4	2	3
ENSG00000143228	2015	1687	1477	962	730	826
ENSG00000231714	0	0	0	1	0	0
ENSG00000116833	763	515	126	523	539	156
ENSG00000000457	503	340	446	605	666	582
ENSG00000285638	0	0	0	0	0	0
ENSG00000230987	2	1	2	1	0	1
ENSG00000228167	0	0	2	0	0	0
ENSG00000150732	0	0	0	0	0	0
ENSG00000157064	0	0	0	0	0	0
ENSG00000288139	0	0	0	0	0	0
ENSG00000059588	2500	1543	1730	1455	1136	1381
ENSG00000162782	0	0	0	0	0	0
ENSG00000238051	0	0	0	0	0	0
ENSG00000233196	0	0	0	0	0	2
ENSG00000229220	0	0	0	0	0	0
ENSG00000227747	0	0	2	0	0	1
ENSG00000228081	0	0	0	0	0	2
ENSG00000228020	0	1	0	0	2	1
ENSG00000234975	899	847	851	1374	2214	1431
ENSG00000162851	1256	1146	1028	931	772	1072
ENSG00000271427	0	2	2	1	2	0
ENSG00000143353	418	417	376	410	555	522
ENSG00000197965	1485	1390	946	1048	1056	1116
ENSG00000143493	2565	2209	2131	1676	1477	1786
ENSG00000230777	10	15	9	8	13	7
ENSG00000179397	4	6	2	4	2	4
ENSG00000224540	0	4	0	0	0	2
ENSG00000186197	264	207	164	152	159	129
ENSG00000229067	5	3	1	1	1	1
ENSG00000261182	0	0	0	0	0	0
ENSG00000162670	0	0	0	0	0	0
ENSG00000225712	21	13	33	17	12	24
ENSG00000162761	0	0	0	0	0	0
ENSG00000143199	7	0	2	4	0	0
ENSG00000007908	0	0	0	2	0	0
ENSG00000092978	678	470	449	499	421	478
ENSG00000188404	1143	871	1099	1415	1332	1664
ENSG00000274702	0	0	0	0	0	0
ENSG00000226211	0	0	0	0	0	0
ENSG00000203697	0	0	2	4	0	1
ENSG00000116574	130	65	81	202	201	139
ENSG00000143248	32	26	28	58	38	60
ENSG00000162814	4	3	11	4	4	1
ENSG00000225172	0	1	0	0	0	0
ENSG00000261642	0	0	0	0	0	0
ENSG00000228239	0	2	0	0	0	0
ENSG00000237283	0	0	0	0	0	0
ENSG00000116132	0	0	0	0	0	0
ENSG00000229242	0	0	0	0	0	0
ENSG00000152092	0	0	0	0	2	0
ENSG00000234984	0	0	0	0	0	0
ENSG00000229983	0	2	0	0	0	0
ENSG00000225122	0	0	0	0	0	0
ENSG00000225920	6	8	13	28	18	12
ENSG00000143476	4505	3602	3507	1962	1316	1778
ENSG00000057252	2078	1854	1620	1703	2039	1853
ENSG00000285718	0	0	0	0	0	0
ENSG00000233018	0	0	0	0	0	0
ENSG00000224783	0	0	0	0	0	0
ENSG00000162852	5231	4200	3849	8658	8458	7835
ENSG00000268062	3	0	4	4	1	2
ENSG00000116962	4656	6244	3970	3819	4875	2594
ENSG00000229757	0	1	2	2	0	0
ENSG00000220749	81	92	66	71	63	84
ENSG00000181450	491	365	415	497	532	459
ENSG00000225300	0	1	2	0	4	2
ENSG00000223842	0	0	4	0	1	0
ENSG00000143355	1	0	0	0	0	0
ENSG00000237193	0	0	0	0	0	0
ENSG00000223490	0	0	0	0	0	0
ENSG00000174502	0	0	0	0	2	2
ENSG00000143195	42	22	43	20	23	33
ENSG00000162849	156	237	92	132	320	225
ENSG00000232824	0	0	0	0	0	0
ENSG00000067533	1454	1204	1113	614	677	646
ENSG00000228955	9	5	13	11	11	10
ENSG00000224702	0	0	0	0	0	0
ENSG00000271811	0	0	0	0	0	0
ENSG00000224278	0	0	0	0	0	0
ENSG00000226486	0	0	0	0	0	0
ENSG00000227687	0	0	0	0	0	0
ENSG00000231814	0	0	0	0	0	0
ENSG00000277007	4	2	2	0	2	0
ENSG00000229016	0	0	0	0	0	0
ENSG00000152104	171	299	179	226	240	309
ENSG00000117650	1371	1351	1136	783	692	805
ENSG00000203724	38	26	43	28	36	38
ENSG00000225006	0	0	0	0	0	0
ENSG00000223375	0	0	0	0	0	0
ENSG00000230714	0	0	0	0	0	0
ENSG00000173726	11995	10594	10988	11141	12082	14573
ENSG00000282852	0	1	0	0	0	0
ENSG00000152382	1016	794	837	733	713	836
ENSG00000232100	0	0	0	0	0	0
ENSG00000230547	3	0	0	2	2	1
ENSG00000232215	0	0	2	0	0	0
ENSG00000135829	23020	20670	19436	14179	15326	16906
ENSG00000134717	2726	2346	2445	2429	2652	3156
ENSG00000278180	0	0	0	0	0	0
ENSG00000232341	28	23	26	32	32	37
ENSG00000287676	0	0	0	1	0	3
ENSG00000236792	122	100	90	61	65	59
ENSG00000143207	3425	3044	3070	3792	4694	4556
ENSG00000270859	0	0	0	0	0	0
ENSG00000238224	0	0	0	0	2	0
ENSG00000237492	2	0	0	0	2	0
ENSG00000150681	3760	3349	2793	4896	4401	4297
ENSG00000116906	2970	2893	2441	2367	2859	2804
ENSG00000092969	6	12	4	4	6	4
ENSG00000157181	1011	737	839	874	839	1115
ENSG00000250762	6	6	1	10	2	1
ENSG00000076258	185	128	197	190	181	222
ENSG00000117697	1728	1595	1422	1712	1782	1702
ENSG00000235083	0	0	0	0	0	0
ENSG00000162669	31	15	33	11	17	18
ENSG00000225904	0	0	0	0	0	0
ENSG00000143641	9676	8652	9074	9639	10310	10497
ENSG00000010932	8	8	59	23	10	32
ENSG00000010072	873	764	631	653	716	603
ENSG00000135766	379	497	459	810	1152	801
ENSG00000238054	0	0	0	0	0	0
ENSG00000168243	25	17	36	56	71	72
ENSG00000281453	0	0	0	0	0	0
ENSG00000237469	0	1	0	0	0	0
ENSG00000227613	0	0	0	0	0	0
ENSG00000116183	4	0	0	2	3	0
ENSG00000231612	1	2	2	4	3	2
ENSG00000271036	0	0	0	0	0	0
ENSG00000170382	36	23	28	69	42	31
ENSG00000226868	0	0	0	0	0	0
ENSG00000279401	0	0	0	0	0	0
ENSG00000287450	0	0	0	0	0	0
ENSG00000237011	0	0	0	0	0	0
ENSG00000066027	5028	4242	5174	6841	7865	8127
ENSG00000173728	0	0	0	2	0	0
ENSG00000225811	0	0	0	0	0	0
ENSG00000273093	0	0	0	0	0	0
ENSG00000185523	2	4	2	1	2	3
ENSG00000116711	1476	1484	1001	1383	2211	1585
ENSG00000226750	0	0	0	0	0	0
ENSG00000285665	140	111	105	93	140	145
ENSG00000231022	0	0	0	0	0	0
ENSG00000224436	0	0	0	0	0	0
ENSG00000234915	2	0	0	1	1	0
ENSG00000227585	0	0	0	0	0	0
